index,searched_keyword,site_domain,result_title,result_date,result_url
114,"""dsbd""",.uk,CHERI adoption and diffusion research,15 May 2024,https://www.gov.uk/government/publications/cheri-adoption-and-diffusion-research/cheri-adoption-and-diffusion-research
115,"""dsbd""",.uk,Sensor IT Follows up on the Digital Security by Design ...,26 Nov 2023,https://www.sensorit.co.uk/sensor-it-dsbd-follow-up/
116,"""dsbd""",.uk,Newsletter,6 Mar 2022,http://digicat.org.uk/3VS1qzO
117,"""dsbd""",.uk,Discribe - Refractions,13 Mar 2024,https://www.refractions.org.uk/projects/discribe
118,"""dsbd""",.uk,Pytilia partners with CSIT to deliver UKRI funded Digital ...,30 Nov 2021,https://www.qub.ac.uk/research-centres/csit/news/news-archive/PytiliapartnerswithCSITtodeliverUKRIfundedDigitalSecuritybyDesignProject.html
119,"""dsbd""",.uk,Holistic Design of Secure Systems on Capability Hardware,7 Dec 2020,https://www.southampton.ac.uk/research/projects/holistic-design-of-secure-systems-on-capability-hardware
120,"""dsbd""",.uk,Launching a ground-breaking digital security brand - Firehaus,8 Dec 2020,https://www.firehaus.co.uk/work-blog/2020/12/8/launching-a-ground-breaking-digital-security-brand
121,"""dsbd""",.uk,,,
122,"""dsbd""",.uk,RESAuto,19 Mar 2024,https://aesin.org.uk/resauto/
123,"""dsbd""",.uk,DSbD CHERI and Morello Capability Essential IP (Version 1),by RNM Watson,https://www.cl.cam.ac.uk/techreports/UCAM-CL-TR-953.pdf
124,"""dsbd""",.uk,QuickGO::Annotation List,12 Aug 2024,https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=Q9JYM0
125,"""dsbd""",.uk,CHERITech 23 (#cheritech23) CHERI Technical Workshop ...,31 Mar 2023,https://www.dcs.gla.ac.uk/~jsinger/cheritech23.html
126,"""dsbd""",.uk,Keeping us safe from cyber threats,15 Oct 2020,https://stories.bath.ac.uk/keeping-us-safe-from-cyber-threats/index.html
127,"""dsbd""",.uk,CHERI within Defence and Security: Competition Document,14 Nov 2022,https://www.gov.uk/government/publications/competition-cheri-within-defence-and-security/cheri-within-defence-and-security-competition-document
128,"""dsbd""",.uk,Cyber security for all: Meet Professor Lizzie Coles Kemp,20 Jun 2024,https://www.royalholloway.ac.uk/research-and-teaching/departments-and-schools/information-security/news/cyber-security-for-all-meet-professor-lizzie-coles-kemp/
129,"""dsbd""",.uk,University of Manchester links up with global e-commerce ...,24 Nov 2020,https://www.manchester.ac.uk/about/news/university-of-manchester-links-up-with-global-e-commerce-player-to-prevent-cyber-security-attacks/
130,"""dsbd""",.uk,AutoCHERI project addresses cyber security risks in the ...,26 Sept 2023,https://www.airto.co.uk/2023/09/autocheri-project-addresses-cyber-security-risks-in-the-automotive-industry/
131,"""dsbd""",.uk,Nuala Kilmartin - UK Cyber Week 2024,18 Apr 2024,https://www.ukcyberweek.co.uk/speakers/nuala-kilmartin
132,"""dsbd""",.uk,Smart Security,10 Jul 2023,https://smartmachinesandfactories.co.uk/category/sectors/smart-security/
133,"""dsbd""",.uk,Prof Christina Redfield - Biochemistry - University of Oxford,15 Jul 2017,https://www.bioch.ox.ac.uk/research/redfield
134,"""dsbd""",.uk,New Bath research hub to bridge the gap between digital ...,5 Nov 2020,https://www.inyourarea.co.uk/news/new-bath-research-hub-to-bridge-the-gap-between-digital-security-and-society
135,"""dsbd""",.uk,"Panasonic honours Arrow, Mouser and Codico in 2016 ...",28 Nov 2016,https://cieonline.co.uk/panasonic-honours-arrow-mouser-and-codico-in-2016-distribution-awards/
136,"""dsbd""",.uk,Ways into Shakespeare's Sonnets - University of London Press,15 Aug 2007,https://uolpress.co.uk/book/ways-into-shakespeares-sonnets/
137,"""dsbd""",.uk,SGN Digital Strategy Action Plan Juen 2023,29 Jun 2023,https://www.sgn.co.uk/sites/default/files/media-entities/documents/2023-06/SGN-Digital-Strategy-Action-Plan-0623.pdf
138,"""dsbd""",.uk,Secret Life of Data Competition – Jean Golding Institute News,2 Nov 2022,https://jeangoldinginstitute.blogs.bristol.ac.uk/2022/11/02/secret-life-of-data-competition/
139,"""dsbd""",.uk,The CamilleX Framework for the Rodin Platform - ePrints Soton,by TS Hoang,https://eprints.soton.ac.uk/448174/
140,"""dsbd""",.uk,Professor Elvira Uyarra,27 May 2021,https://www.productivity.ac.uk/people/dr-elvira-uyarra/
141,"""dsbd""",.uk,Michael Vollmer - School of Computing,20 Oct 2023,https://www.kent.ac.uk/computing/people/4728/vollmer-michael
142,"""dsbd""",.uk,Electron Avenue: Pathways Minireview of Disulfide Bond ...,by L Debarbieux,https://core.ac.uk/download/pdf/82202173.pdf
143,"""dsbd""",.uk,Institute for Digital Security and Behaviour (IDSB),15 Jul 2024,https://researchportal.bath.ac.uk/en/organisations/institute-for-digital-security-and-behaviour-idsb
144,"""dsbd""",.uk,Lizzie Coles-Kemp,9 Jul 2022,https://pure.royalholloway.ac.uk/en/persons/lizzie-coles-kemp
145,"""dsbd""",.uk,Ian Stark,1 Nov 2019,https://www.research.ed.ac.uk/en/persons/ian-stark
146,"""dsbd""",.uk,News – BCC,12 Nov 2005,https://bcc.co.uk/news/
147,"""dsbd""",.uk,Robert Atkinson,31 May 2022,https://pureportal.strath.ac.uk/en/persons/robert-atkinson
148,"""dsbd""",.uk,Christina Redfield - Wolfson College - University of Oxford,2 Aug 2013,https://www.wolfson.ox.ac.uk/person/christina-redfield/
